label,파종기,정식기,초장,생과중,성숙기..착색기.,개화기,착과형태,과폭,과장,천립중,주경장,엽장,엽폭,과실.속살의.두께,과실.심실의.수,절간장
1,421,603,NA,NA,NA,623,2,NA,10.3,NA,22.5,NA,NA,2.8,NA,NA
1,421,603,NA,NA,NA,620,2,NA,3.7,NA,13,NA,NA,5,NA,NA
3,421,603,NA,NA,NA,810,1,NA,3.1,NA,23,NA,NA,0.7,NA,NA
1,312,429,106.7,NA,723,610,1,NA,NA,NA,28.7,19.5,9.4,NA,NA,8
1,306,508,175,0.2,814,607,1,0.4,1.1,NA,NA,NA,NA,0.4,NA,NA
1,421,603,NA,NA,NA,625,2,NA,8.7,NA,17,NA,NA,1.5,NA,NA
3,421,603,NA,NA,NA,809,1,NA,3.7,NA,28,NA,NA,0.6,NA,NA
1,312,429,82.7,2.4,723,603,2,0.7,6.3,NA,19.7,13.8,6.4,0.4,NA,7.2
3,421,603,NA,NA,NA,630,1,NA,1.4,NA,27,NA,NA,2.4,NA,NA
3,224,430,72,NA,NA,524,1,NA,1.8,5.9,1.1,6.4,3.1,NA,NA,3.4
1,421,603,NA,NA,NA,630,2,NA,7.1,NA,16,NA,NA,1.6,NA,NA
1,314,429,160,11.6,NA,603,2,2.2,7.1,6,19,11.8,6.2,1.8,NA,NA
3,421,603,NA,NA,NA,630,2,NA,4,NA,27,NA,NA,2.1,NA,NA
3,421,603,NA,NA,NA,623,2,NA,6.8,NA,24,NA,NA,1.3,NA,NA
3,421,603,NA,NA,NA,724,2,NA,4,NA,19,NA,NA,1.8,NA,NA
1,312,429,97.3,NA,723,607,3,NA,NA,NA,21.7,23,11.5,NA,NA,9.3
3,421,603,NA,NA,NA,723,2,NA,2.9,NA,18,NA,NA,2.2,NA,NA
1,312,429,101.7,7.7,725,610,1,2.8,3.7,NA,20,23.1,13.2,1.3,NA,7.5
3,421,603,NA,NA,NA,810,1,NA,2.5,NA,54,NA,NA,0.9,NA,NA
1,312,429,97.3,NA,723,617,1,NA,NA,NA,31.3,19.2,10.7,NA,NA,8.8
